division_id,name,abbreviation,wikipedia_url
1,Atlantic Coast Conference,ACC,https://en.wikipedia.org/wiki/Atlantic_Coast_Conference
1,American Conference,American,https://en.wikipedia.org/wiki/American_Conference_(NCAA)
1,ASUN Conference,ASUN,https://en.wikipedia.org/wiki/Atlantic_Sun_Conference
1,America East Conference,America East,
1,Atlantic 10 Conference,A-10,
1,BIG EAST Conference,Big East,
1,Big 12 Conference,Big 12,https://en.wikipedia.org/wiki/Big_12_Conference
1,Big Sky Conference,Big Sky,https://en.wikipedia.org/wiki/Big_Sky_Conference
1,Big South Conference,Big South,https://en.wikipedia.org/wiki/Big_South_Conference
1,Big Ten Conference,Big Ten,https://en.wikipedia.org/wiki/Big_Ten_Conference
1,Big West Conference,Big West,
1,Coastal Athletic Association,CAA,
1,Conference USA,C-USA,https://en.wikipedia.org/wiki/Conference_USA
1,Horizon League,Horizon,https://en.wikipedia.org/wiki/Horizon_League
1,Ivy League,Ivy,https://en.wikipedia.org/wiki/Ivy_League
1,Metro Atlantic Athletic Conference,MAAC,
1,Mid-American Conference,MAC,https://en.wikipedia.org/wiki/Mid-American_Conference
1,Mid-Eastern Athletic Conference,MEAC,
1,Missouri Valley Conference,MVC,https://en.wikipedia.org/wiki/Missouri_Valley_Conference
1,Mountain West Conference,MW,https://en.wikipedia.org/wiki/Mountain_West_Conference
1,Northeast Conference,NEC,
1,Ohio Valley Conference,OVC,https://en.wikipedia.org/wiki/Ohio_Valley_Conference
1,Pacific-12 Conference,Pac-12,https://en.wikipedia.org/wiki/Pac-12_Conference
1,Patriot League,Patriot,https://en.wikipedia.org/wiki/Patriot_League
1,Southeastern Conference,SEC,https://en.wikipedia.org/wiki/Southeastern_Conference
1,Southern Conference,SoCon,https://en.wikipedia.org/wiki/Southern_Conference
1,Southland Conference,Southland,
1,Southwestern Athletic Conference,SWAC,
1,Summit League,Summit,
1,Sun Belt Conference,Sun Belt,
1,Western Athletic Conference,WAC,
2,Central Atlantic Collegiate Conference,CACC,
2,California Collegiate Athletic Association,CCAA,
2,Central Intercollegiate Athletic Association,CIAA,
2,Conference Carolinas,Conference Carolinas,
2,Eastern Collegiate Conference,ECC,
2,Great Lakes Intercollegiate Athletic Conference,GLIAC,
2,Great Lakes Valley Conference,GLVC,
2,Great Northwest Athletic Conference,GNAC,
2,Great American Conference,Great American,
2,Great Midwest Athletic Conference,Great Midwest,
2,Gulf South Conference,Gulf South,
2,Lone Star Conference,Lone Star,
2,Michigan Intercollegiate Athletic Association,MIAA,
2,Mountain East Conference,Mountain East,
2,Northeast-10 Conference,Northeast-10,
2,Northern Sun Intercollegiate Conference,Northern Sun,
2,Pennsylvania State Athletic Conference,PSAC,
2,Pacific West Conference,PacWest,
2,Peach Belt Conference,Peach Belt,
2,Rocky Mountain Athletic Conference,RMAC,
2,Southern Intercollegiate Athletic Conference,SIAC,
2,South Atlantic Conference,South Atlantic,
3,American Rivers Conference,American Rivers,
3,American Southwest Conference,American Southwest,
3,Atlantic East Conference,Atlantic East,
3,College Conference of Illinois and Wisconsin,CCIW,
3,Collegiate Conference of the South,CSAC,
3,City University of New York Athletic Conference,CUNYAC,
3,Centennial Conference,Centennial,
3,Coast to Coast Athletic Conference,Coast-to-Coast,
3,Empire 8 Conference,Empire 8,
3,Great Northeast Athletic Conference,Great Northeast AC,
3,Heartland Collegiate Athletic Conference,HCAC,
3,Landmark Conference,Landmark,
3,Liberty League,Liberty League,
3,Little East Conference,Little East,
3,Massachusetts State Collegiate Athletic Conference,MASCAC,
3,Michigan Intercollegiate Athletic Association,MIAC,
3,Middle Atlantic Conferences,Middle Atlantic Conferences,
3,Midwest Conference,Midwest Conference,
3,Northern Athletics Collegiate Conference,NACC,
3,New England Small College Athletic Conference,NESCAC,
3,New England Womens and Mens Athletic Conference,NEWMAC,
3,New Jersey Athletic Conference,NJAC,
3,North Atlantic Conference,North Atlantic Conference,
3,North Coast Athletic Conference,North Coast AC,
3,Northwest Conference,Northwest Conference,
3,Old Dominion Athletic Conference,ODAC,
3,Ohio Athletic Conference,Ohio Athletic Conference,
3,Presidents Athletic Conference,Presidents AC,
3,Southern Collegiate Athletic Conference,SCAC,
3,Southern California Intercollegiate Athletic Conference,SCIAC,
3,St. Louis Intercollegiate Athletic Conference,SLIAC,
3,State University of New York Athletic Conference,SUNYAC,
3,Southern Athletic Association,Southern Athletic Association,
3,University Athletic Association,UAA,
3,Upper Midwest Athletic Conference,UMAC,
3,USA South Athletic Conference,USA South,
3,Wisconsin Intercollegiate Athletic Conference,WIAC,
4,American Midwest Conference,American Midwest,
4,Appalachian Athletic Conference,Appalachian AC,
4,Cascade Collegiate Conference,Cascade Conference,
4,Chicagoland Collegiate Athletic Conference,Chicagoland Collegiate,
4,Continental Athletic Conference,Continental AC,
4,Crossroads League,Crossroads League,
4,Frontier Conference,Frontier Conference,
4,Great Southwest Athletic Conference,Golden State AC,
4,Great Plains Athletic Conference,Great Plains AC,
4,Heart of America Athletic Conference,Heart of America AC,
4,Kansas Collegiate Athletic Conference,KCAC,
4,Mid-South Conference,Mid-South Conference,
4,North Star Athletic Association,North Star,
4,River States Conference,River States Conference,
4,Sooner Athletic Conference,Sooner AC,
4,Southern States Athletic Conference,Southern States AC,
4,Sun Conference,The Sun Conference,
4,Wolverine-Hoosier Athletic Conference,WHAC,
