conference_name,h2_index,h2_text,h3_index,h3_text
Atlantic Coast Conference,1,Member universities,1,Full members
Atlantic Coast Conference,1,Member universities,2,Former members
Atlantic Coast Conference,1,Member universities,3,Membership map
Atlantic Coast Conference,1,Member universities,4,Membership timeline
Atlantic Coast Conference,2,History,1,Founding and early expansion
Atlantic Coast Conference,2,History,2,2010–present
Atlantic Coast Conference,3,Academics and ACC,1,Academic rankings
Atlantic Coast Conference,3,Academics and ACC,2,ACCAC and ACC academic network
Atlantic Coast Conference,3,Academics and ACC,3,ACCAC academic programs
Atlantic Coast Conference,4,Athletic department revenue by school,,
Atlantic Coast Conference,5,Key personnel,,
Atlantic Coast Conference,6,Facilities,,
Atlantic Coast Conference,7,Sports,1,Men's sponsored sports by school
Atlantic Coast Conference,7,Sports,2,Women's sponsored sports by school
Atlantic Coast Conference,7,Sports,3,Current champions
Atlantic Coast Conference,8,Football,1,Divisions and scheduling
Atlantic Coast Conference,8,Football,2,Bowl games
Atlantic Coast Conference,8,Football,3,National championships
Atlantic Coast Conference,8,Football,4,Intra-conference football rivalries
Atlantic Coast Conference,8,Football,5,Interconference football rivalries
Atlantic Coast Conference,9,Basketball,1,History
Atlantic Coast Conference,9,Basketball,2,Tournament as championship
Atlantic Coast Conference,9,Basketball,3,Present-day schedule
Atlantic Coast Conference,9,Basketball,4,National championships and Final Fours
Atlantic Coast Conference,10,Baseball,,
Atlantic Coast Conference,11,Field hockey,,
Atlantic Coast Conference,12,Golf,,
Atlantic Coast Conference,13,Lacrosse,,
Atlantic Coast Conference,14,Soccer,,
Atlantic Coast Conference,15,Tennis,,
Atlantic Coast Conference,16,Commissioners,,
Atlantic Coast Conference,17,NCAA team championships,,
Atlantic Coast Conference,18,Capital One Cup standings,,
Atlantic Coast Conference,19,Media,1,Current
Atlantic Coast Conference,19,Media,2,Former
Atlantic Coast Conference,20,See also,,
Atlantic Coast Conference,21,Notes,,
Atlantic Coast Conference,22,References,,
Atlantic Coast Conference,23,Further reading,,
Atlantic Coast Conference,24,External links,,
American Conference,1,History,1,The Big East
American Conference,1,History,2,Realignment and reorganization
American Conference,1,History,3,Membership timeline
American Conference,2,Member universities,1,Current full members
American Conference,2,Member universities,2,Affiliate members
American Conference,2,Member universities,3,Former full members
American Conference,2,Member universities,4,Former affiliate members
American Conference,3,Sports,1,Men's sponsored sports by school
American Conference,3,Sports,2,Women's sponsored sports by school
American Conference,4,Conference champions,,
American Conference,5,NCAA national championships,1,Team championships won by current members
American Conference,5,NCAA national championships,2,Team championships won as American Conference members
American Conference,5,NCAA national championships,3,Individual and relay championships by current members
American Conference,6,Football,1,All-time school and conference records
American Conference,6,Football,2,Football champions
American Conference,6,Football,3,Rivalries
American Conference,6,Football,4,Bowl games
American Conference,6,Football,5,Head football coach compensation
American Conference,6,Football,6,Conference individual honors
American Conference,7,Men's basketball,1,All-time school records by winning percentage
American Conference,7,Men's basketball,2,American Conference Men's Basketball NCAA Bids
American Conference,7,Men's basketball,3,Men's basketball champions
American Conference,7,Men's basketball,4,Intra-conference rivalries
American Conference,8,Women's basketball,1,All-time school records by winning percentage
American Conference,8,Women's basketball,2,Women's basketball champions
American Conference,9,Facilities,,
American Conference,10,Athletic department revenue by school,,
American Conference,11,Broadcasting and media rights,,
American Conference,12,See also,,
American Conference,13,Notes,,
American Conference,14,References,,
American Conference,15,External links,,
ASUN Conference,1,History,1,Formation
ASUN Conference,1,History,2,"Expansion, contraction, and rebranding"
ASUN Conference,1,History,3,Present
ASUN Conference,1,History,4,Loss of football schools to Rebranded United Athletic Conference
ASUN Conference,2,Member schools,1,Current full members
ASUN Conference,2,Member schools,2,Associate members
ASUN Conference,2,Member schools,3,Future associate members
ASUN Conference,2,Member schools,4,Former full members
ASUN Conference,2,Member schools,5,Former associate members
ASUN Conference,2,Member schools,6,Membership timeline
ASUN Conference,3,Sports sponsored,1,Men's sports
ASUN Conference,3,Sports sponsored,2,Women's sports
ASUN Conference,4,Facilities,,
ASUN Conference,5,All Sports Championships,1,Men's All Sports: Jesse C. Fletcher Trophy
ASUN Conference,5,All Sports Championships,2,Women's All Sports: Sherman Day Trophy
ASUN Conference,5,All Sports Championships,3,Combined All Sports: Bill Bibb Trophy
ASUN Conference,6,Championships,1,Men's basketball
ASUN Conference,6,Championships,2,Women's basketball
ASUN Conference,6,Championships,3,Baseball
ASUN Conference,7,Notes and references,,
ASUN Conference,8,External links,,
America East Conference,1,History,,
America East Conference,2,Members,1,Current full members
America East Conference,2,Members,2,Associate members
America East Conference,2,Members,3,Former full members
America East Conference,2,Members,4,Former associate members
America East Conference,2,Members,5,Membership timeline
America East Conference,3,Facilities,,
America East Conference,4,Sports sponsored,1,Men's sports
America East Conference,4,Sports sponsored,2,Women's sports
America East Conference,5,NCAA team championships,,
America East Conference,6,Men's basketball,1,All-time school record by winning percentage
America East Conference,6,Men's basketball,2,List of regular season champions
America East Conference,6,Men's basketball,3,List of tournament champions
America East Conference,6,Men's basketball,4,No. 16 UMBC upset of No. 1 Virginia
America East Conference,7,Women's basketball,1,All-time school record by winning percentage
America East Conference,7,Women's basketball,2,List of regular season champions
America East Conference,7,Women's basketball,3,List of tournament champions
America East Conference,8,Lacrosse,,
America East Conference,9,Soccer,1,2024 NCAA Championship win by the Vermont Catamounts
America East Conference,10,See also,,
America East Conference,11,References,,
America East Conference,12,External links,,
Atlantic 10 Conference,1,History,1,Early history
Atlantic 10 Conference,1,History,2,"Expansion, contraction, and football"
Atlantic 10 Conference,1,History,3,Conference realignments and expanding media presence
Atlantic 10 Conference,2,Member schools,1,Current members
Atlantic 10 Conference,2,Member schools,2,Former members
Atlantic 10 Conference,2,Member schools,3,Membership timeline
Atlantic 10 Conference,3,Atlantic 10 rivalries,,
Atlantic 10 Conference,4,Sports,1,Men's sponsored sports by school
Atlantic 10 Conference,4,Sports,2,Women's sponsored sports by school
Atlantic 10 Conference,4,Sports,3,Current tournament champions
Atlantic 10 Conference,5,Football (1997–2006),1,Origin
Atlantic 10 Conference,5,Football (1997–2006),2,Football champions
Atlantic 10 Conference,5,Football (1997–2006),3,"Demise/""rename"""
Atlantic 10 Conference,5,Football (1997–2006),4,A-10 schools in DI-A/FBS
Atlantic 10 Conference,6,Facilities,,
Atlantic 10 Conference,7,References,,
Atlantic 10 Conference,8,External links,,
BIG EAST Conference,1,History,1,The original Big East
BIG EAST Conference,1,History,2,Split and re-founding
BIG EAST Conference,1,History,3,Field hockey and lacrosse associate members
BIG EAST Conference,1,History,4,Return of UConn
BIG EAST Conference,1,History,5,Associate Member Changes
BIG EAST Conference,2,Commissioners,,
BIG EAST Conference,3,Academics,,
BIG EAST Conference,4,Apparel,,
BIG EAST Conference,5,Member schools,1,Full members
BIG EAST Conference,5,Member schools,2,Associate members
BIG EAST Conference,5,Member schools,3,Former associate members
BIG EAST Conference,5,Member schools,4,Membership timeline
BIG EAST Conference,6,Men's sports,1,Basketball
BIG EAST Conference,6,Men's sports,2,Soccer
BIG EAST Conference,6,Men's sports,3,Lacrosse
BIG EAST Conference,6,Men's sports,4,Baseball
BIG EAST Conference,6,Men's sports,5,Swimming and Diving
BIG EAST Conference,6,Men's sports,6,Cross Country
BIG EAST Conference,6,Men's sports,7,Tennis
BIG EAST Conference,7,Women's sports,1,Basketball
BIG EAST Conference,7,Women's sports,2,Field Hockey
BIG EAST Conference,7,Women's sports,3,Soccer
BIG EAST Conference,7,Women's sports,4,Softball
BIG EAST Conference,7,Women's sports,5,Swimming and diving
BIG EAST Conference,7,Women's sports,6,Volleyball
BIG EAST Conference,7,Women's sports,7,Cross Country
BIG EAST Conference,7,Women's sports,8,Lacrosse
BIG EAST Conference,8,NCAA team championships,,
BIG EAST Conference,9,Facilities,,
BIG EAST Conference,10,See also,,
BIG EAST Conference,11,Notes,,
BIG EAST Conference,12,References,,
BIG EAST Conference,13,External links,,
Big 12 Conference,1,Member universities,1,Full members
Big 12 Conference,1,Member universities,2,Membership map
Big 12 Conference,1,Member universities,3,Affiliate members
Big 12 Conference,1,Member universities,4,Former full members
Big 12 Conference,1,Member universities,5,Former affiliate members
Big 12 Conference,1,Member universities,6,Membership timeline
Big 12 Conference,2,Sports,1,Current champions
Big 12 Conference,2,Sports,2,Men's sponsored sports by university
Big 12 Conference,2,Sports,3,Women's sponsored sports by university
Big 12 Conference,3,History,,
Big 12 Conference,4,Academics,,
Big 12 Conference,5,Distinctive elements,1,Population base and markets
Big 12 Conference,5,Distinctive elements,2,Grant of Rights
Big 12 Conference,5,Distinctive elements,3,Tier 3 events
Big 12 Conference,5,Distinctive elements,4,Business partnerships and innovation
Big 12 Conference,6,Conference annual revenue distribution,,
Big 12 Conference,7,Athletic department revenue by school,,
Big 12 Conference,8,Facilities,,
Big 12 Conference,9,Key personnel,,
Big 12 Conference,10,Championships,1,National team titles by institution
Big 12 Conference,10,Championships,2,Most recent NCAA championship
Big 12 Conference,10,Championships,3,National championships
Big 12 Conference,11,Fall Sports,1,Men's Sports
Big 12 Conference,11,Fall Sports,2,Women's Sports
Big 12 Conference,12,Winter Sports,1,Men's Sports
Big 12 Conference,12,Winter Sports,2,Women's Sports
Big 12 Conference,13,Spring Sports,1,Men's Sports
Big 12 Conference,13,Spring Sports,2,Women's Sports
Big 12 Conference,13,Spring Sports,3,Combined Sports
Big 12 Conference,14,Other NCAA championships,1,Combined Sports
Big 12 Conference,14,Other NCAA championships,2,Conference champions
Big 12 Conference,15,Football,1,Championship game
Big 12 Conference,15,Football,2,Bowl affiliations
Big 12 Conference,16,Rivalries,,
