division_id,name,abbreviation,wikipedia_url,wiki_query_string
1,Atlantic Coast Conference,ACC,https://en.wikipedia.org/wiki/Atlantic_Coast_Conference,Atlantic Coast Conference
1,American Conference,American,https://en.wikipedia.org/wiki/American_Conference_(NCAA),American Conference
1,ASUN Conference,ASUN,https://en.wikipedia.org/wiki/Atlantic_Sun_Conference,ASUN Conference
1,America East Conference,America East,,America East Conference
1,Atlantic 10 Conference,A-10,,Atlantic 10 Conference
1,BIG EAST Conference,Big East,,Big_East_Conference
1,Big 12 Conference,Big 12,https://en.wikipedia.org/wiki/Big_12_Conference,Big 12 Conference
1,Big Sky Conference,Big Sky,https://en.wikipedia.org/wiki/Big_Sky_Conference,Big Sky Conference
1,Big South Conference,Big South,https://en.wikipedia.org/wiki/Big_South_Conference,Big South Conference
1,Big Ten Conference,Big Ten,https://en.wikipedia.org/wiki/Big_Ten_Conference,Big Ten Conference
1,Big West Conference,Big West,,Big West Conference
1,Coastal Athletic Association,CAA,,Coastal Athletic Association
1,Conference USA,C-USA,https://en.wikipedia.org/wiki/Conference_USA,Conference USA
1,Horizon League,Horizon,https://en.wikipedia.org/wiki/Horizon_League,Horizon League
1,Ivy League,Ivy,https://en.wikipedia.org/wiki/Ivy_League,Ivy League
1,Metro Atlantic Athletic Conference,MAAC,,Metro Atlantic Athletic Conference
1,Mid-American Conference,MAC,https://en.wikipedia.org/wiki/Mid-American_Conference,Mid-American Conference
1,Mid-Eastern Athletic Conference,MEAC,,Mid-Eastern Athletic Conference
1,Missouri Valley Conference,MVC,https://en.wikipedia.org/wiki/Missouri_Valley_Conference,Missouri Valley Conference
1,Mountain West Conference,MW,https://en.wikipedia.org/wiki/Mountain_West_Conference,Mountain West Conference
1,Northeast Conference,NEC,,Northeast Conference
1,Ohio Valley Conference,OVC,https://en.wikipedia.org/wiki/Ohio_Valley_Conference,Ohio Valley Conference
1,Pacific-12 Conference,Pac-12,https://en.wikipedia.org/wiki/Pac-12_Conference,Pacific-12 Conference
1,Patriot League,Patriot,https://en.wikipedia.org/wiki/Patriot_League,Patriot League
1,Southeastern Conference,SEC,https://en.wikipedia.org/wiki/Southeastern_Conference,Southeastern Conference
1,Southern Conference,SoCon,https://en.wikipedia.org/wiki/Southern_Conference,Southern Conference
1,Southland Conference,Southland,,Southland Conference
1,Southwestern Athletic Conference,SWAC,,Southwestern Athletic Conference
1,Summit League,Summit,,Summit League
1,Sun Belt Conference,Sun Belt,,Sun Belt Conference
1,Western Athletic Conference,WAC,,Western Athletic Conference
2,Central Atlantic Collegiate Conference,CACC,,Central Atlantic Collegiate Conference
2,California Collegiate Athletic Association,CCAA,,California Collegiate Athletic Association
2,Central Intercollegiate Athletic Association,CIAA,,Central Intercollegiate Athletic Association
2,Conference Carolinas,Conference Carolinas,,Conference Carolinas
